Old URL,New URL,Redirect Type,Redirect Status,Notes
/boghopper,https://sailorskills.notion.site/Boghopper-Service-Log-f7bf790c0ccd45858b559cd9a918e99d?pvs=4,Single Redirect,Active,
/ranger-23-2,https://sailorskills.notion.site/Ranger-23-Service-Log-1bbca70726cd45768a949a96ab289dea?pvs=4,Single Redirect,Active,
/marla-hooch,https://sailorskills.notion.site/Marla-Hooch-Service-Log-7b21066b5b184997b9e1b877e1942ea0,Single Redirect,Active,
/china-rose,https://sailorskills.notion.site/China-Rose-d721c77eff5540da9b4a8d2d537d8844,Single Redirect,Active,
/miles-away,https://sailorskills.notion.site/Miles-Away-Service-Log-fef685c1b2564211ab27c35049ec0f0d?pvs=4,Single Redirect,Active,
/voyager,https://sailorskills.notion.site/Voyager-Service-Log-18bb82b7eacc8008bd16eceb5c5b44cd?pvs=4,Single Redirect,Active,
/heartstring,https://sailorskills.notion.site/Heartstring-Service-Log-199b82b7eacc8106b03ec68df101d082?source=copy_link,Single Redirect,Active,
/booty,https://sailorskills.notion.site/Booty-Service-Log-4b83b4ed083e4d3a9a4f89c8498cd0bb,Single Redirect,Active,
/dash,https://sailorskills.notion.site/Dash-Service-Log-bd8aa027cda1448cb20aec9d440298f6,Single Redirect,Active,
/cowboys-dream,https://www.notion.so/sailorskills/Cowboys-Dream-Service-Log-1e5b82b7eacc80caa6dce62695747ffc?pvs=4,Single Redirect,Active,
/aleph-null,https://sailorskills.notion.site/Aleph-Null-2e44f13735714a1aac9853748cb2458b,Single Redirect,Active,
/blue-heeler,https://sailorskills.notion.site/Blue-Heeler-Service-Log-22ab82b7eacc815793ebf8187efb0dd7?source=copy_link,Single Redirect,Active,
/chiquita,https://sailorskills.notion.site/Chiquita-Service-Log-9b3fc1665c404a0e956072a49e97a627,Single Redirect,Active,
/about-time,https://sailorskills.notion.site/About-Time-5a5b5f6ed1394a4d8f62e62a93721aa7,Single Redirect,Active,
/catalyst,https://photos.app.goo.gl/w93Z1jb2ZwXc6nZ77,Single Redirect,Active,
/zenith,https://sailorskills.notion.site/Zenith-Service-Log-2dab82b7eacc812f8306c220b5a7889f?source=copy_link,Single Redirect,Active,
/grace,https://sailorskills.notion.site/Grace-Service-Log-297b82b7eacc81de8eb5ef8e9d7f6621?source=copy_link,Single Redirect,Active,
/chance,https://sailorskills.notion.site/Chance-Service-Log-1f1b82b7eacc81e69ddce60d0e7476f7?pvs=4,Single Redirect,Active,
/kakelekele,https://sailorskills.notion.site/Kakelekele-a999213221164d3583ce53ec40e2c499,Single Redirect,Active,
/tanagra,https://sailorskills.notion.site/Tanagra-Service-Log-126b82b7eacc814f8412dcec4a5cbc39?pvs=4,Single Redirect,Active,
/islander-bahama,https://sailorskills.notion.site/Islander-Bahama-Service-Log-315b82b7eacc81189660e24d75657e94?source=copy_link,Single Redirect,Active,
